postcode,point_coordinates,street,city,state,lat,long
50506,POINT(3.139 101.6869),Mahkamah Persekutuan Kuala Lumpur,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50507,POINT(3.139 101.6869),Institut Tadbiran Awam Negara (INTAN),Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50508,POINT(3.139 101.6869),Amanah Raya Berhad,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50512,POINT(3.1503 101.6924),Jabatan Peguam Negara,Kuala Lumpur,WP Kuala Lumpur,3.1503,101.6924
50514,POINT(3.139 101.6869),Jabatan Perangkaan Malaysia Wilayah Persekutuan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50515,POINT(3.139 101.6869),Jabatan Pembangunan Wanita (HAWA),Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50519,POINT(3.139 101.6869),Jabatan Mufti Wilayah Persekutuan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50528,POINT(3.139 101.6869),Tribunal Perkhidmatan Awam,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50529,POINT(3.139 101.6869),Unit Penyelidikan Sosio Ekonomi,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50530,POINT(3.139 101.6869),Perbadanan Tabung Pembangunan Kemahiran,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50532,POINT(3.139 101.6869),Jabatan Tenaga Kerja,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50534,POINT(3.139 101.6869),Jabatan Keselamatan dan Kesihatan Pekerja (OSHA),Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50536,POINT(3.139 101.6869),Jabatan Perhubungan Perusahaan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50540,POINT(3.139 101.6869),Jabatan Tenaga Rakyat,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50544,POINT(3.139 101.6869),Mahkamah Perusahaan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50546,POINT(3.139 101.6869),Agensi Anti Dadah Kebangsaan Wilayah Persekutuan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50548,POINT(3.139 101.6869),Jabatan Hal Ehwal Orang Asli,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50550,POINT(3.1466 101.6636),Jabatan Imigresen,Kuala Lumpur,WP Kuala Lumpur,3.1466,101.6636
50551,POINT(3.139 101.6869),Jabatan Pendaftaran Negara,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50552,POINT(3.139 101.6869),Jabatan Pendaftar Pertubuhan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50554,POINT(3.139 101.6869),Percetakan Nasional Berhad,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50556,POINT(3.139 101.6869),Jabatan Pertahanan Awam,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50560,POINT(3.139 101.6869),Ibu Pejabat Polis Dang Wangi Kuala Lumpur,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50562,POINT(3.139 101.6869),Kementerian Pembangunan Wanita Keluarga & Masyarakat ,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50564,POINT(3.1078 101.7282),Jabatan KebajIkan Masyarakat,Kuala Lumpur,WP Kuala Lumpur,3.1078,101.7282
